relig,cappun,age,educ
protestant,,61.0,12.0
protestant,,70.0,12.0
catholic,,48.0,11.0
catholic,,34.0,12.0
catholic,,19.0,12.0
catholic,,52.0,8.0
catholic,,30.0,14.0
catholic,,60.0,12.0
catholic,,50.0,16.0
catholic,,47.0,14.0
protestant,,50.0,5.0
none,,68.0,5.0
none,,50.0,12.0
none,,21.0,10.0
protestant,,72.0,3.0
protestant,,52.0,12.0
protestant,,32.0,12.0
protestant,,52.0,12.0
protestant,,60.0,12.0
protestant,,32.0,12.0
protestant,,60.0,9.0
protestant,,80.0,7.0
protestant,,58.0,8.0
protestant,,36.0,12.0
protestant,,31.0,12.0
protestant,,30.0,16.0
protestant,,63.0,16.0
none,,34.0,13.0
protestant,,29.0,12.0
protestant,,36.0,5.0
protestant,,39.0,12.0
protestant,,73.0,8.0
protestant,,38.0,10.0
protestant,,55.0,13.0
protestant,,30.0,12.0
catholic,,44.0,12.0
catholic,,43.0,8.0
catholic,,38.0,8.0
catholic,,44.0,12.0
catholic,,75.0,9.0
catholic,,43.0,18.0
catholic,,43.0,9.0
none,,27.0,12.0
catholic,,58.0,10.0
catholic,,45.0,12.0
catholic,,31.0,12.0
catholic,,23.0,12.0
catholic,,69.0,7.0
catholic,,35.0,8.0
catholic,,43.0,12.0
catholic,,56.0,7.0
protestant,,36.0,11.0
protestant,,47.0,6.0
protestant,,29.0,14.0
protestant,,60.0,12.0
protestant,,37.0,10.0
protestant,,20.0,12.0
protestant,,55.0,9.0
protestant,,71.0,
protestant,,30.0,11.0
protestant,,59.0,9.0
protestant,,42.0,12.0
protestant,,55.0,11.0
protestant,,24.0,12.0
protestant,,30.0,7.0
protestant,,70.0,0.0
protestant,,43.0,7.0
catholic,,45.0,11.0
none,,25.0,16.0
catholic,,37.0,0.0
catholic,,22.0,14.0
catholic,,27.0,8.0
catholic,,28.0,18.0
protestant,,42.0,12.0
catholic,,42.0,3.0
catholic,,30.0,12.0
other,,40.0,12.0
catholic,,37.0,18.0
protestant,,24.0,16.0
protestant,,46.0,12.0
catholic,,53.0,12.0
catholic,,64.0,11.0
catholic,,20.0,13.0
protestant,,60.0,8.0
catholic,,33.0,16.0
protestant,,70.0,16.0
protestant,,60.0,3.0
catholic,,26.0,11.0
catholic,,74.0,3.0
protestant,,33.0,11.0
protestant,,23.0,11.0
protestant,,19.0,12.0
protestant,,59.0,4.0
protestant,,70.0,9.0
protestant,,52.0,2.0
protestant,,,0.0
protestant,,75.0,2.0
protestant,,49.0,8.0
protestant,,49.0,8.0
protestant,,46.0,14.0
protestant,,45.0,12.0
protestant,,28.0,17.0
catholic,,23.0,12.0
protestant,,64.0,12.0
protestant,,33.0,12.0
protestant,,69.0,6.0
protestant,,72.0,5.0
protestant,,59.0,8.0
protestant,,69.0,6.0
protestant,,58.0,9.0
protestant,,53.0,9.0
protestant,,62.0,5.0
protestant,,58.0,8.0
protestant,,32.0,14.0
protestant,,58.0,12.0
protestant,,70.0,12.0
protestant,,69.0,8.0
protestant,,36.0,10.0
protestant,,47.0,9.0
catholic,,31.0,12.0
catholic,,81.0,5.0
catholic,,24.0,12.0
catholic,,51.0,12.0
catholic,,69.0,3.0
catholic,,30.0,12.0
catholic,,69.0,12.0
catholic,,45.0,11.0
protestant,,24.0,12.0
catholic,,66.0,7.0
protestant,,29.0,12.0
protestant,,57.0,8.0
protestant,,58.0,8.0
protestant,,77.0,8.0
protestant,,30.0,18.0
catholic,,56.0,12.0
protestant,,49.0,13.0
protestant,,52.0,10.0
protestant,,40.0,7.0
protestant,,48.0,14.0
protestant,,47.0,6.0
protestant,,31.0,14.0
protestant,,21.0,13.0
protestant,,84.0,8.0
protestant,,61.0,9.0
protestant,,46.0,13.0
protestant,,39.0,16.0
protestant,,64.0,11.0
protestant,,77.0,4.0
protestant,,25.0,14.0
protestant,,53.0,7.0
protestant,,52.0,10.0
catholic,,71.0,6.0
protestant,,52.0,8.0
catholic,,57.0,7.0
protestant,,69.0,8.0
protestant,,74.0,9.0
protestant,,58.0,12.0
protestant,,23.0,12.0
protestant,,61.0,8.0
protestant,,60.0,11.0
protestant,,36.0,8.0
protestant,,58.0,17.0
protestant,,28.0,4.0
protestant,,29.0,2.0
protestant,,25.0,11.0
none,,57.0,12.0
catholic,,26.0,12.0
catholic,,55.0,11.0
catholic,,29.0,17.0
catholic,,68.0,7.0
catholic,,18.0,12.0
protestant,,49.0,10.0
catholic,,64.0,12.0
